source_directory,processing_script,processed_output,metadata_status,structured_metadata_present,validation_error_count,validation_errors,source_key,release_clearance,permission_basis,original_author,last_substantive_update,manual_steps_required,external_dependencies_required,source_dataset,processing_assumptions,temporal_handling,spatial_handling,manual_steps,known_limitations,external_dependencies,notes
Moore_et_al_2025,data\Moore_et_al_2025\process_moore_et_al_2025.py,data\Moore_et_al_2025\processed_moore_et_al_2025.csv,structured_toml,yes,0,,Moore_et_al_2025,approved,public_repository_terms,jschwenk + Codex,2026-08-06,yes,yes,"Moore, M.A., K. Schaefer, L.K. Clayton, E.E. Hoy, M. Auclair,
K. Bakian-Dogaheh, M.J. Battaglia, K. Bennett, W.R. Bolton,
L.L. Bourgeau-Chavez, A.E. Bredder, D. Chen, R.H. Chen, A.C. Chen,
J. Chen, D. Chiasson, R. Chitra-tarak, A. Collins, L. Cornette,
J. Dann, E. Devoie, M. Dominico, T.A. Douglas, S. Gagnon, S.E. Grelick,
P. Griffith, J. He, G. Iwahana, E. Jafarov, L.K. Jenkins, E.S. Kasischke,
S. Kim, P.B. Kirchner, B. Lecavalier, J. Ledman, S. Liben, L. Liu,
T.V. Loboda, S. Ludwig, M.J. Macander, N. Matsui, R.J. Michaelides,
M. Moghaddam, S. Natali, S.K. Panda, A.D. Parsekian, M. Pearce,
W. Quinton, A.V. Rocha, H. Rodenhizer, P. Roy-Leveillee, N. Saravanan,
Z. Sauve, S.R. Schaefer, E.A.G. Schuur, O. Sonnentag, T.D. Sullivan,
A. Tabatabaeenejad, L. Thomas, B. Thorne, K. Turner, K. Wang, C.J. Wilson,
H.A. Zebker, T. Zhang, Y. Zhao, and S. Zwieback. 2025.
ABoVE: Soil Moisture and Active Layer Thickness in Alaska, USA and Canada,
2005-2022. ORNL DAAC, Oak Ridge, Tennessee, USA.
https://doi.org/10.3334/ORNLDAAC/2369

Correction provenance:
Douglas, T.A. 2019. ABoVE: Soil Active Layer Thaw Depths at CRREL sites near
Fairbanks, Alaska, 2014-2018. ORNL DAAC, Oak Ridge, Tennessee, USA.
https://doi.org/10.3334/ORNLDAAC/1701

Douglas, T.A. 2021. Repeat active layer depths at sites near Fairbanks,
Alaska (Version 1). Zenodo.
https://doi.org/10.5281/zenodo.4670463
","ALT == -9999 and rows with missing lat/lon are dropped before aggregation. || Rows matching the original Jafarov_2016 GPR and probe products by method, coordinates rounded to six decimals, and depth rounded to 0.0001 cm are removed before Moore aggregation, irrespective of the conflicting dates in the synthesis table. || All valid rows attributed to the Natali team are removed before aggregation because the direct Natali_2023 release contains the underlying 2016-2018 transect observations with their actual dates. || Malformed Douglas Farmers Loop dates are decoded with an explicit source-specific mapping after annual depth vectors are checked against the original Douglas workbook. || Douglas Farmers Loop station numbers and coordinates are restored from the official ORNL DAAC point geometry because the synthesis import removed zeroes from station identifiers and collapsed distinct stations such as 1, 10, and 100. || Duplicate rows at the same site_name/latitude/longitude/date are averaged for ALT. || Dense retained GPR picks are aggregated to one mean observation per occupied 5 m by 5 m UTM cell within site and survey date; non-GPR observations are not spatially aggregated. || Every retained numeric ALT is treated as a permafrost detection at the reported depth; no arbitrary 130 cm or July 15 presence threshold is applied. || method is inferred from ALT_instrument and mapped to tp or gp when the group is internally consistent; otherwise method is set to unknown.","Per-record dates are parsed from the input CSV and kept at the observation level outside the documented Douglas Farmers Loop import error. || For malformed Farmers Loop dates, the real month and day are decoded from the synthesis field and the thaw year is recovered by matching each annual depth vector to the original Douglas 2014-2020 workbook; the 2022 T1 year follows the source sequence and stated 2005-2022 coverage and is flagged as approximate. || The Jafarov copies are removed without using Moore dates because primary documentation and raw-file names establish that the shared observations were collected in August 2013, while Moore assigns those same rows dates in 2014 or 2018.",Coordinates outside the Douglas Farmers Loop transects are used as provided in the source CSV without reprojection. || Farmers Loop T1 and T2 coordinates are restored from the 2014 station sequence in the official ORNL DAAC EPSG:26906 point geometry and transformed to WGS84. || GPR aggregation uses a local UTM projection selected independently for each site/date survey unit.,Download ABoVE_Soil_ThawDepth_Moisture_Validation_V2.csv into data/Moore_et_al_2025 before running the script.,"The source file labels the measurement ALT rather than supplying a separate binary permafrost field, so conversion from numeric ALT to presence is flagged as a source-context state assignment. || The Jafarov source-specific filter is guarded by expected match counts (57,294 GPR and 1,297 probe rows) so a changed input cannot silently alter deduplication. || The Natali filter is guarded at 1,962 valid synthesis rows; Moore assigns all of them the implausible date 2013-08-11, while the direct source records their 2016-2018 campaign dates. || The Farmers Loop repair is guarded at 1,488 corrected date rows and 1,917 coordinate-restored rows. Fourteen 2014-2020 site-year depth vectors match the older Douglas deposit exactly except for one T1 2016 value; the newer Moore value is retained for that point. || The T1 date 2022-09-17 is decoded from the malformed month/day field and assigned to the otherwise missing 2022 block based on the source sequence and stated temporal coverage; those rows carry date_source_approximate. || Rows assigned that approximate 2022 date carry both date_assigned and date_source_approximate; validated workbook date corrections carry only the source-code-recoded flag. || CALM overlap review found spatial/site-year overlap with CALM but no exact coordinate/date/depth duplicate rows; source documentation indicates ABoVE/SMALT field observations, so Moore_et_al_2025 is treated as independent for now.",Gitignored raw input ABoVE_Soil_ThawDepth_Moisture_Validation_V2.csv hosted outside the repo; see EXTERNAL_DATA_SOURCES.md.,The committed Douglas workbook and ORNL DAAC geometry archive are small primary-source companions used only to validate and repair the affected Farmers Loop rows.
Myers-Smith_2005,data\Myers-Smith_2005\process_myers-smith_2005.py,data\Myers-Smith_2005\processed_myers-smith_2005.csv,structured_toml,yes,0,,Myers-Smith_2005,approved,public_repository_terms,jschwenk + Codex,2026-08-04,yes,no,"Myers-Smith, Isla. 2005. Active Layer Depth Data for the BBC collapse scar
for 2003 and 2004, Bonanza Creek LTER - University of Alaska Fairbanks.
BNZ:206. http://www.lter.uaf.edu/data/data-detail/id/206
doi:10.6073/pasta/28920b92a1ca20a1a7e90fff842f3e45
",Measurement coordinates are assigned by merging collapse-scar transect distances with a separate coordinate table for east and west offsets. || Each dated row is interpreted independently rather than assigning one annual state to every observation at a location. || Ordinary numeric thaw depths are permafrost detections and are copied to pf_depth. || Explicit >120 and >205.5 values are lower-bound absence observations with the reported value used as obs_limit; missing-depth rows are excluded. || method is fixed to tp.,Dates are reconstructed from Year and DOY in the source table.,Point coordinates are based on an auxiliary Transect_Points_Coordinates.csv file derived from dataset-provided transect endpoints and Google Earth interpretation.,Transect point coordinates were derived outside this script and stored in Transect_Points_Coordinates.csv.,Coordinate placement depends on the manual boardwalk-based reconstruction described in the script header and is flagged as interpolated.,,
Natali_2023,data\Natali_2023\process_natali_2023.py,data\Natali_2023\processed_natali_2023.csv,structured_toml,yes,0,,Natali_2023,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Natali, S.; Ludwig, S.; Minions, C.; Watts, J. D. 2023. ABoVE: Thaw Depth at
Selected Unburned and Burned Sites Across Alaska (Version 1.0). ORNL
Distributed Active Archive Center. https://doi.org/10.3334/ORNLDAAC/1579
","Ordinary numeric thaw depths are direct probe detections and are retained as permafrost presence; no arbitrary depth threshold is used. || Notes stating that thaw exceeded the 109, 115, or 147 cm probe length are retained as lower-bound absence observations with the stated row-specific obs_limit. || One source value of 552 cm at NCU_OLD on 2017-09-18 is corrected to 52 cm because the same observation is 52 cm in FireALT and 552 cm is incompatible with neighboring 34-63 cm values. || Rows with missing thaw depth caused by rock or with no usable lower-bound note are excluded. || The 93 EML observations from 2017-09-20 are removed because the earlier ViPER_2018 release contains the same transects; ViPER is retained as the primary source. || method is set to tp for all retained rows.",Per-record dates are stripped and parsed directly from the source CSV.,Each site/date/transect has coordinates at its two endpoints; coordinates for interior sample_location values are linearly interpolated between those endpoints. || Endpoint rows retain their source coordinates and interior rows carry the coord_lookup_or_interpolated quality flag.,,Straight-line interpolation assumes sample_location is distance along the segment joining the two source endpoints. || Numeric rows whose notes report rock are retained but carry refusal_or_obstruction_note because refusal may not represent frozen ground. || The ViPER overlap filter and the 552-to-52 correction are guarded by expected counts so source revisions cannot silently change either decision.,,
NCSS_Lab_Data_Mart,data\NCSS_Lab_Data_Mart\process_ncss_lab_data_mart.py,data\NCSS_Lab_Data_Mart\processed_ncss_lab_data_mart.csv,structured_toml,yes,0,,NCSS_Lab_Data_Mart,approved,public_repository_terms,jschwenk + Codex,2026-08-05,yes,yes,"USDA Natural Resources Conservation Service, National Cooperative Soil Survey
Soil Characterization Database / NCSS Lab Data Mart. Compact CUSP raw extract
generated from ncss_labdatagpkg.zip downloaded from
https://ncsslabdatamart.sc.egov.usda.gov/ on 2026-05-21.
","The versioned raw input is a compact pedon-level subset generated from the local NCSS Lab Data Mart GeoPackage by extract_ncss_lab_data_mart_raw.py. || The full NCSS GeoPackage and ZIP archive are intentionally not versioned because they are too large for the repository. || Rows with a syntactically valid f or ff suffix in the normalized NCSS hzn_desgn field are treated as permafrost-presence observations, following USDA usage of those suffixes for permanently frozen soil or ice. || The legacy hzn_desgn_old field is not used to classify frozen horizons because it contains free-form descriptions such as DUFF, CLAY FILMS, and fragment notes that are not horizon suffixes. || For presence rows, pf_depth is the shallowest top depth among horizons with a valid f or ff suffix. || Rows with no valid frozen-horizon suffix are treated as absence observations to profile bottom, with obs_limit equal to the deepest horizon bottom. || Absence rows are only retained in the raw extract when abs(latitude) >= 55 degrees to avoid low-latitude absence records that are not useful for CUSP. || Explicit presence rows are retained globally regardless of latitude. || NCSS horizon designation notation is treated as authoritative for frozen-layer status; otherwise the source cannot be used consistently. || The canonical thaw_depth field is left missing because these are pedon/profile frozen-horizon observations, not active-layer-thickness measurements. || Method is assigned as pit, the closest current CUSP vocabulary term for soil pedon/profile descriptions.",NCSS site_obsdate is parsed as the observation date and written as YYYY-MM-DD. || Rows missing site_obsdate are excluded during compact raw extract generation.,Latitude and longitude are read from NCSS latitude_decimal_degrees and longitude_decimal_degrees. || Rows missing coordinates are excluded during compact raw extract generation.,Download the zipped GeoPackage from the NCSS Lab Data Mart website. || Place ncss_labdatagpkg.zip in data/NCSS_Lab_Data_Mart/ and extract ncss_labdata.gpkg locally. || Run data/NCSS_Lab_Data_Mart/extract_ncss_lab_data_mart_raw.py to regenerate raw_ncss_permafrost_domain_pedons.csv.,"The compact raw extract is derived from the NCSS GeoPackage and should be regenerated if the NCSS Lab Data Mart release changes. || Valid f/ff presence records are retained globally without a latitude or climate filter; uncommon low-latitude records therefore rely on the source horizon designation and carry the CUSP assumed-state quality flag. || Absence observations mean permafrost/frozen material was not indicated within the described profile, not that permafrost is absent below the profile bottom. || Some NCSS rows overlap with existing Pastick records; Pastick often carries update-like dates, so coordinate/depth/profile-bottom matching is more informative than exact date matching for that source. || The method field does not distinguish soil pits from auger/core descriptions because the compact NCSS tables do not provide a reliable per-row CUSP method mapping.",NCSS Lab Data Mart: https://ncsslabdatamart.sc.egov.usda.gov/ || USDA-NRCS soils data are public domain unless otherwise noted by USDA.,
Obu_etal_2016,data\Obu_etal_2016\process_obu_etal_2016.py,data\Obu_etal_2016\processed_obu_etal_2016.csv,structured_toml,yes,0,,Obu_etal_2016,approved,public_repository_terms,ksolander,2026-04-11,no,no,"Obu, Jaroslav; Lantuit, Hugues; Myers-Smith, Isla H.; Heim, Birgit; Wolter,
Juliane; Fritz, Michael. 2016. Permafrost cores and active layer pits on
Herschel Island: core attributes [dataset]. PANGAEA.
https://doi.org/10.1594/PANGAEA.859664
","All records in the shapefile are treated as permafrost-present observations, so pf_observed is fixed to 1. || thaw_depth is read directly from THAWDEPTH, while pf_depth is left missing. || obs_limit is read directly from COREDEPTH and site_id from CORENR. || The script preserves ice_content as an ancillary field in the processed output. || method is set to pit for all retained rows because the source archive describes permafrost cores and active-layer pits.",All observations are assigned the representative campaign date 2013-06-23.,Latitude and longitude are read directly from the shapefile attributes without reprojection.,,The script assumes every retained record corresponds to a permafrost-present core or pit observation. || Observation timing is approximate because all rows share one campaign date.,,
Pastick,data\Pastick\process_pastick.py,data\Pastick\processed_pastick.csv,structured_toml,yes,0,,Pastick,approved,emailed_approval,jschwenk + Codex,2026-08-06,no,yes,"Pastick, Neal. Unpublished Alaska pedon and near-surface permafrost data
compiled from multiple sources, including NRCS-derived products represented in
this directory.
","YFlats_NRCS pfrost depth is treated as both pf_depth and thaw_depth when pf_observed = 1. || WesternAKSitePhoriz permafrost presence is inferred from horizon names containing frozen-soil suffixes, with the shallowest frozen horizon top used as pf_depth. || WesternAKSitePhoriz obs_limit is taken as the deepest horizon bottom for each pedon, and organic thickness is derived from O-horizon bottoms when present. || WesternAKSitePhoriz absence rows are flagged because absence is interpreted only to the bottom of the recorded soil profile. || WesternAKSitePhoriz/numeric-ID pit rows that overlap with NCSS_Lab_Data_Mart are removed in favor of NCSS: same pf_observed status and within 1 m, regardless of Pastick's update-like date fields or small depth/profile-bottom differences. || For Innoko probe rows, numeric Depth is permafrost depth for presence and the reported observation limit for absence; source >2m codes are conservatively recoded to a 200 cm absence limit. || Innoko water/mud/see-note rows without a positive observation depth are excluded because they do not support a usable permafrost-absence limit. || Five additional absence rows with zero-depth WesternAKSitePhoriz/Gates records are excluded because no defensible observation limit can be recovered. || If a permafrost-present record reports an observation limit shallower than its permafrost depth, the contradictory canonical limit is cleared, the source value is preserved in pastick_source_obs_limit_cm, and the row is flagged as recoded. || Innoko Pnt_type = Estimated coordinates are retained and flagged as interpolated source coordinates. || The remaining site shapefiles are harmonized through column-name standardization, records with unrecognized pf_observed encodings are dropped, and source-native site identifiers are preserved where available. || method is assigned explicitly for YFlats_NRCS and WesternAKSitePhoriz, and set to unknown for the remaining shapefiles when no reliable method field is available.",Per-record dates are carried through from the source shapefiles when present; the script does not impose a campaign-average date.,YFlats_NRCS and WesternAKSitePhoriz coordinates are read from source attributes. || The remaining site shapefiles are reprojected to WGS84 from their source projected coordinates before latitude and longitude are extracted from point geometry.,,This source is a compiled unpublished dataset with heterogeneous schemas and uneven metadata across component files. || Small coordinate precision differences can appear across rebuilds because several component shapefiles are reprojected before export. || Some NCSS-overlapping WesternAKSitePhoriz rows have different depth/profile-bottom values between Pastick and NCSS; CUSP keeps NCSS as the preferred source system for these pedons. || Innoko coordinate interpolation and source code recoding are retained in row-level provenance/quality fields.,data/NCSS_Lab_Data_Mart/processed_ncss_lab_data_mart.csv is required for source-specific NCSS overlap filtering.,"The Pastick source key identifies the unpublished compilation supplied to CUSP.
It is not renamed to NRCS_Alaska because only YFlats_NRCS and
WesternAKSitePhoriz are identified as NRCS-derived in the supplied metadata;
the remaining component shapefiles do not contain complete original-source
citations.
"
Patton_2021,data\Patton_2021\process_patton_2021.py,data\Patton_2021\processed_patton_2021.csv,structured_toml,yes,0,,Patton_2021,approved,published_literature,jschwenk + Codex,2026-08-06,no,no,"Patton, A. I.; Rathburn, S. L.; Capps, D. M.; McGrath, D.; Brown, R. A. 2021.
Ongoing landslide deformation in thawing permafrost. Geophysical Research
Letters 48, e2021GL092959. https://doi.org/10.1029/2021GL092959
",Three GPR transects are processed separately and then concatenated into one output table. || alt_m is converted from meters to centimeters. || Native dense GPR picks are aggregated to one mean observation per occupied 5 m by 5 m UTM cell within transect and survey date. || Every retained numeric GPR active-layer depth is treated as a permafrost detection at the reported interpreted depth; no arbitrary 130 cm threshold is applied. || method is set to gp and pf_depth is copied from thaw_depth.,Each transect is assigned a fixed survey date hardcoded in the script.,Transect coordinates are interpreted in EPSG:6334 and transformed to WGS84. || GPR aggregation uses a local UTM projection selected independently for each transect/date survey unit.,,"The script assumes NAD83(2011) and WGS84 are close enough for this application, which the original author flagged as an unresolved source of roughly meter-scale horizontal error. || Permafrost depths are geophysical interpretations rather than mechanical probe contacts. || A 2026-08-04 cross-source footprint and coordinate/depth/date audit found no overlap with the retained Jafarov_2016, Moore_et_al_2025, or Petrone_etal_2016 GPR observations, so no cross-source rows are removed here.",,
Pawley_2018,data\Pawley_2018\process_pawley_2018.py,data\Pawley_2018\processed_pawley_2018.csv,structured_toml,yes,0,,Pawley_2018,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Pawley, S.M.; Utting, D.J. 2018. Permafrost site location training data for
northern Alberta (tabular data, tab-delimited format). Alberta Energy
Regulator, AER/AGS Digital Data 2018-0006.
http://ags.aer.ca/document/DIG/DIG_2018_0006.zip
","The source training table is joined to a Source-to-Year lookup table to construct a representative date field. || The gridded probability/classification model outputs are not used. || Rows whose Source indicates remote-sensing/manual interpretation rather than direct source observations are excluded before date handling: Mapped wetland types in sample tiles, Stratified random points in sample tiles, and Offgrid points. || Rows with no resolved Year after the Source-to-Year join are dropped because the observation year is not known. || Resolved year-only dates are encoded as September 1 of that year, following the project convention for Northern Hemisphere thaw-season observations without a reported month or day. || Coordinates are transformed from Alberta 10TM NAD83 coordinates into WGS84 using a custom PROJ pipeline. || Perm is mapped to pf_observed and Perm_cm to pf_depth, while thaw_depth is left missing. || The source does not report row-specific observation limits. CUSP assigns a conservative 110 cm source-wide obs_limit from the maximum reported permafrost depth, rather than the 150 cm maximum associated with only some of the source's field methods. || The source reports permafrost presence/absence was established with soil probes, augers, hand-dug soil pits, or shallow coring equipment, but the exact method is not recoverable per row; method is therefore set to unknown. || The source does not provide site IDs, so site_id is left missing rather than assigning synthetic identifiers. || Original Source, Dataset_Source, and Alberta 10TM coordinate fields are retained as all-fields provenance columns.",date is derived from the joined Year field as YYYY-09-01. || Rows without a resolved Year are excluded from the processed output.,The script transforms only rows within a plausible Alberta 10TM coordinate range and leaves invalid transformations as missing coordinates.,,"The source table does not provide full per-observation dates; retained rows use a representative September 1 date derived from source-level year metadata. || The exact per-row observation tool is not reported, so method is unknown even though the source-level methods are direct field observations. || The 110 cm obs_limit is inferred at source level, not measured independently for every row. || Some source-level direct field records, including AGS Field Data and Geological Survey of Canada Unpublished Field Data, are excluded because no defensible observation year is available in the current source-to-year lookup.",,
Peirce_2020,data\Peirce_2020\process_peirce_2020.py,data\Peirce_2020\processed_peirce_2020.csv,structured_toml,yes,0,,Peirce_2020,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Peirce, Jana; Walker, Donald A. (Skip); Watson-Cook, Emily; Kanevskiy,
Mikhail; Bergstedt, Helena. 2022. Observations in ice-rich permafrost systems,
Prudhoe Bay Alaska, August 2020. Arctic Data Center.
doi:10.18739/A2542J96D
","Airport T3-T5, Colleen T1-T2, and Joregenson JS are removed because Walker_2022 publishes the same 2020 transects with native point coordinates; only the four NIRPO transects unique to this release are retained. || Thaw depth values reported with a leading > are treated as observation-limit non-permafrost observations. || Ordinary numeric thaw depth is treated as permafrost presence at the reported depth. || Only explicit >x values are treated as lower-bound absence, with obs_limit set to x. || Point observations are merged to generated 1 m transect points built from separate transect start/end coordinates. || method is set to tp; obs_limit is populated only for explicit lower-bound rows.",Per-record sample dates are parsed directly from the measurement CSV.,"Transect start/end coordinates are built in WGS84, projected to UTM zone 6N for point generation, and returned to WGS84 for export.",,The current implementation assumes the generated 1 m transect points and the Distanc from start (m) field line up exactly. || site_id is a generated transect identifier because the source is organized around transects rather than named sites. || The shared-transect filter is guarded at 776 raw rows so source revisions cannot silently change the deduplication result.,,
PERMOS_2024,data\PERMOS_2024\process_permos_2024.py,data\PERMOS_2024\processed_permos_2024.csv,structured_toml,yes,0,,PERMOS_2024,approved,public_repository_terms,jschwenk + Codex,2026-05-21,yes,yes,"PERMOS 2024: PERMOS Database. Swiss Permafrost Monitoring Network,
Davos and Fribourg, Switzerland. https://doi.org/10.13093/permos-2024-01
","Only the annual active-layer-thickness table alt_20240529.csv is ingested into the canonical CUSP observation table. || Ground-surface-temperature, ERT, and terrestrial geodetic-survey tables are excluded because they are related monitoring products rather than direct thaw-depth/permafrost-depth observations in the current CUSP schema. || PERMOS ALT is calculated from borehole thermistor temperatures by linear interpolation between neighbouring sensors above and below the permafrost table; CUSP records these rows with method = temp. || ALT values are converted from meters to centimeters. || Rows with a numeric ALT and date are retained. || Rows with ALT < x m comments are retained as permafrost-present upper-bound observations: pf_observed = 1, obs_limit is set to x, and exact thaw_depth/pf_depth are left missing. || Rows with ALT between x and y m comments are retained as lower-bound absence observations: pf_observed = 0, obs_limit is set to x, and exact thaw_depth/pf_depth are left missing. || Exact ALT rows already represented in CALM are filtered out by matching PERMOS calm_id, PERMOS year, and reported ALT depth against data/CALM/processed_calm.csv. || Bounded or otherwise nonexact ALT rows with CALM identifiers are filtered out when CALM already represents the same calm_id and year. || Retained rows whose comments state ALT > a reported depth are treated as lower-bound observations where permafrost was not observed within the reported limit: pf_observed = 0, obs_limit is set to the reported ALT value, and thaw_depth/pf_depth are left missing. || All other retained numeric ALT rows are treated as permafrost-present observations with thaw_depth and pf_depth equal to the reported ALT. || PERMOS guess flags and ALT comments are retained as provenance fields and are not used to filter numeric ALT rows.","The PERMOS date field is the date of maximum ALT and is written directly as the CUSP observation date. || Bound-only rows without a PERMOS date are assigned September 1 of the PERMOS year, following the CUSP convention for Northern Hemisphere year-only thaw-season observations. || The PERMOS year field is retained separately as provenance because one annual ALT row can have a max-ALT date outside the calendar year.","Borehole latitude/longitude are used when available. || If borehole coordinates are missing, site-level latitude/longitude are used as a fallback and the coordinate source is recorded.",Download PERMOS Database release 2024 from the DOI landing page and unpack the ASCII tables into data/PERMOS_2024/Data.,"The ingest excludes no-data, incomplete/not-yet-available, erroneous/unreliable, and talik/no-freeze-through rows from the ALT table. || Talik/no-freeze-through rows are not encoded as absence observations because the source does not provide a usable observation limit. || The CALM overlap filtering is source-specific because the CUSP CALM processor uses year-only dates while PERMOS reports exact maximum-ALT dates. || Eighteen retained rows use site-level coordinates because borehole coordinates are absent in borehole_20240529.csv. || Rows flagged as PERMOS guesses are included but flagged in permos_guess. || PERMOS ALT is derived from in situ thermistor data rather than direct manual probing.",data/CALM/processed_calm.csv is required for source-specific overlap filtering. || PERMOS DOI: 10.13093/permos-2024-01 || PERMOS Data Policy: CC BY 4.0 with required citation.,
Petrone_etal_2016,data\Petrone_etal_2016\process_petrone_etal_2016.py,data\Petrone_etal_2016\processed_petrone_etal_2016.csv,structured_toml,yes,0,,Petrone_etal_2016,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Petrone, Johannes; Sohlenius, Gustav; Johansson, Emma; Lindborg, Tobias;
Näslund, Jens-Ove; Strömgren, Mårten; Brydsten, Lars. 2016. Using
ground-penetrating radar, topography and classification of vegetation to model
the sediment and active layer thickness in a periglacial lake catchment,
Western Greenland. PANGAEA. Supplement to Earth System Science Data 8(2),
663-677. https://doi.org/10.1594/PANGAEA.845258
","All processed observations are treated as permafrost-present records, so pf_observed is fixed to 1. || The GPR workbook is assumed to already contain thaw-depth values converted from return times using the class-specific values described in Petrone et al. 2016. || Dense GPR picks are aggregated to one mean observation per occupied 5 m by 5 m UTM cell within transect and survey date; probe observations are not spatially aggregated. || GPR transects are labeled GPRT* and thaw-probe transects are labeled PT* based on sheet names.",All GPR observations are assigned the single campaign date 2011-08-18. || Probe-transect dates are parsed from the workbook when a date column is available.,Coordinates are read directly from the source workbooks without reprojection. || GPR aggregation uses a local UTM projection selected independently for each transect/date survey unit.,,"The processed output does not include non-permafrost observations, so absence conditions are not represented directly. || obs_limit is left missing because the workbooks do not provide a consistent usable observation-limit field. || A 2026-08-04 cross-source footprint and coordinate/depth/date audit found no overlap with the retained Jafarov_2016, Moore_et_al_2025, or Patton_2021 GPR observations, so no cross-source rows are removed here.",,
Ruess_2025,data\Ruess_2025\process_ruess_2025.py,data\Ruess_2025\processed_ruess_2025.csv,structured_toml,yes,0,,Ruess_2025,approved,public_repository_terms,jschwenk + Codex,2026-08-05,no,yes,"Ruess, Roger; Hollingsworth, Teresa Nettleton; Bonanza Creek LTER. 2025.
Bonanza Creek LTER: Active Layer Depth or Permafrost Presence for the Regional
Site Network. LTER Network Member Node.
https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/605/6
doi:10.6073/pasta/10324bd31b26ef97fe2cfe6a8537d941
","Site-year observations also published by the dedicated Chapin_2025 Survey Line Fire source are removed after annual processing, with Chapin retained as the primary source. || Records are grouped by site and calendar year before summary statistics are computed. || Permafrost presence requires at least one valid source Hit Type = Ice measurement; thaw_depth and pf_depth are the mean of Ice depths only. || Permafrost absence requires at least one valid no-barrier probe depth (blank/None Hit Type) and no Ice hits; obs_limit is the minimum full probe depth in that site-year group. || Rock-only, unvisited, inaccessible, snow-obstructed, and otherwise missing site-year groups are excluded because they do not directly establish permafrost absence. || method is set to tp for all retained rows.",A single source date is preserved when all measurements in a site-year share it; otherwise the median source date is used and flagged as assigned/approximate.,Latitude and longitude are taken directly from the source CSV without reprojection.,,"Annual aggregation discards within-year measurement timing and variation. || The released table's blank Hit Type is interpreted as the metadata code for no barrier only when accompanied by a valid measured depth; this interpretation is guarded by expected absence counts. || Four absence summaries also contain rock refusals at other within-site probe locations and are flagged accordingly. || The source republishes 360 stake measurements from Chapin_2025: SL1A in 2015-2022 and SL1B in 2015-2024. All 18 shared site-years are removed here; dates, stake identifiers, and raw depths match exactly across the two source tables.",data/Chapin_2025/processed_chapin_2025.csv is used to identify shared site-year keys after Chapin is processed.,Sixteen shared annual summaries are identical. SL1A 2021 and 2022 differ because Chapin averages all retained dedicated-source depths while this processor averages Ice hits only; CUSP keeps Chapin for both years rather than selecting between derived summaries.
Scheer_etal_2023,data\Scheer_etal_2023\process_scheer_etal_2023.py,data\Scheer_etal_2023\processed_scheer_etal_2023.csv,structured_toml,yes,0,,Scheer_etal_2023,approved,public_repository_terms,jrowland,2026-04-10,no,no,"Scheer, Johanna; Caduff, Rafael; How, Penelope; Marcer, Marco; Strozzi,
Tazio; Bartsch, Annett; Ingeman-Nielsen, Thomas. 2024. Mapping the frost
susceptibility of the ground from thaw-season InSAR surface displacements and
extrapolated active layer thicknesses, Ilulissat, West-Greenland [dataset].
PANGAEA. https://doi.org/10.1594/PANGAEA.964306
","The source table is expanded from wide ALT_2020 and ALT_2021 columns into one row per site-year with non-null thaw depth. || All retained observations are treated as permafrost-present, so pf_observed is fixed to 1 and pf_depth is set equal to thaw_depth. || method is set to tp and obs_limit is left missing.",Each annual record is assigned September 1 because the source reports thaw-season observations without exact dates and the script uses early September as the end-of-summer proxy.,Latitude and longitude are read directly from the source table without reprojection.,,Exact observation dates are not available in the processed output.,,
Schwenk_PFRR,data\Schwenk_PFRR\process_schwenk_pfrr.py,data\Schwenk_PFRR\processed_schwenk_pfrr.csv,structured_toml,yes,0,,Schwenk_PFRR,approved,self_generated,jrowland,2026-04-10,no,no,"Schwenk, Jon. 2024. Poker Flats Research Range observations, unpublished.
This script processes the frost-probing subset of the broader PFRR field
campaign package described in the local readme files.
","Permafrost? is mapped directly to pf_observed, and pf_depth is set equal to thaw_depth when pf_observed = 1. || Rows marked Hit bedrock? = 1 are excluded from the processed output. || obs_limit is fixed at 180 cm and method is set to tp for all retained observations.",The Date and time field is parsed and reduced to date-only precision in the processed output.,Coordinates are read directly from the source CSV without reprojection.,,This script only processes the frost-probing subset of the broader PFRR package. || Locations where the probe hit bedrock are excluded rather than represented as censored observations.,,
Selawik,data\Selawik\process_selawik.py,data\Selawik\processed_selawik.csv,structured_toml,yes,0,,Selawik,approved,self_generated,jschwenk + Codex,2026-08-04,no,no,"Rowland, Joel. 2022. Selawik National Wildlife Refuge observations, unpublished.
",The source pf field is mapped directly to pf_observed; depth is exact thaw_depth for presence and source-reported supporting depth for absence. || pf_depth is set equal to thaw_depth where pf_observed = 1. || obs_limit is fixed at 120 cm for absence rows and method is set to tp. || Rows with missing pf_observed are dropped before export.,All observations are assigned the representative campaign date 2022-09-15.,Coordinates are used as provided in the source CSV without reprojection.,,Observation timing is approximate because all rows share one campaign date.,,
